"Reference","Value","Qty","P/N"
"+5V1","+5V_TP","1",""
"+12V1","+12V_TP","1",""
"Accel_Raw1","Accel_Raw_TP","1",""
"Accel_TP1","Accel","1",""
"Brake_Fl_Sn1","Brake_Fl_Sn_TP","1",""
"Brake_Fl_Sn_Raw1","Brake_Fl_Sn_Raw_TP","1",""
"Brake_Raw1","Brake_Raw_TP","1",""
"Brake_TP1","Brake","1",""
"C1","100nF","1","pickle"
"C2","10uF","1","pickle"
"C3,C13","0.1uf","2","pickle"
"C4","10uf","1","pickle"
"C5",".1uf","1","pickle"
"C6,C11","100uF","2","pickle"
"C7,C10","1uF","2","pickle"
"C8,C9","1nF","2","pickle"
"C12,C14","1nf","2","pickle"
"D1,D2,D3,D4,D5,D8","MBR","6","MBR0520LT1G"
"D6","PESD15VL1BA","1","PESD15VL1BA,115"
"D7","SMD_0805","1","pickle"
"GND1","GND_TP","1",""
"GNDPWR1","GNDPWR_TP","1",""
"J1","Brake Pos. Sensor","1","430450626"
"J2","Accel Pos. Sensor","1","430450626"
"J3,J5","PeripheralCANConnector","2","436500244"
"J4","Conn_01x02","1","430450200"
"R1","20","1","ERJ-UP6D20R0V"
"R2,R5","8.2k","2","ERA-3ARB822V"
"R3","1.5k","1","CRMA2512AF1K50FKEF"
"R4,R6","22k","2","pickle"
"TP_3V3PWR1","+3V3PWR","1",""
"U1","RI3-1205S","1","RI3-1205S"
"U2","PeripheralSOM","1","53307-2471"
"U3,U6","TLV9301xDCK","2","TLV9301xDCK"
"U4","TLV70130DBVR","1","TLV70130DBVR"
"U5","AMC1300BDWV","1","AMC1300BDWV"
